,features,importance
91,McGowan_Volume,0.09012259737284611
92,VCH-6,0.08994128500796977
93,ATSp3,0.08963101363633896
94,SP-3,0.08952731275947236
95,Zagreb,0.08925985427298266
96,VP-4,0.08923694752192321
97,ATSp2,0.08885071829427259
98,WTPT-1,0.08860591427770836
99,minHaaCH,0.08859215370582418
100,minHother,0.08845912896780152
101,bpol,0.08806528426405062
102,CrippenMR,0.08797058440232168
103,VP-0,0.08772312099139376
104,SP-2,0.08741111218683675
105,maxssCH2,0.08728693658782644
106,HybRatio,0.08721281995757911
107,Kier1,0.0870672184932768
108,ETA_Alpha,0.086819436267268
109,ATSc5,0.08660695251692743
110,WPOL,0.08547541954217881
111,SP-0,0.0853984065736719
112,ETA_Eta_R_L,0.0851704241831715
113,VP-2,0.08507450739474676
114,SP-1,0.0849754037786635
115,ETA_BetaP_ns,0.08449108926004606
116,nBonds,0.0843671909794135
117,nHsOH,0.08427090458063487
118,MAXDN,0.08401087845416069
119,SC-3,0.08395733608626599
120,VCH-7,0.08385798727633681
121,nsOH,0.08348738502698619
122,SPC-4,0.08333510877143058
123,ETA_Eta_R,0.08321528408087459
124,nHeavyAtom,0.08306189598199856
125,ETA_Beta,0.08243497281418802
126,ETA_Beta_s,0.08237770823955799
127,VP-1,0.08159873881862947
128,Kier2,0.08127437094010731
129,MW,0.08092853980756402
130,ATSm2,0.08079179142312225
131,FMF,0.0805101403763553
132,minHCsats,0.07987131215464499
133,VC-3,0.07947394631608128
134,nBonds2,0.07891227219992736
135,fragC,0.07880077991148052
136,ETA_EtaP_F_L,0.0778371903395582
137,maxaaCH,0.07770250944978843
138,WTPT-3,0.07666738749974292
139,nAtom,0.0765755089885164
140,MLFER_E,0.07636653599637128
141,nBondsM,0.07574342119057234
142,ETA_EtaP,0.07570567532035224
143,ECCEN,0.07569547028628501
144,VP-3,0.07547238051452057
145,nAtomP,0.07502803900397059
146,MLFER_L,0.07341017165391928
147,SssCH2,0.07320229736160756
148,ATSm3,0.07240684738783684
149,nTRing,0.07212344190867592
150,SCH-5,0.07209177010681579
151,SHBd,0.0712430482251262
152,ETA_Eta_F,0.07062091004979579
153,ETA_Shape_P,0.07058653348141444
154,ETA_EtaP_L,0.0705740266925663
155,ATSc1,0.069511800798594
156,nRotB,0.0689540285185265
157,ETA_Eta,0.0687314119097904
158,WPATH,0.0685164760015646
159,nH,0.06716314280461538
160,ATSm5,0.06570891540685338
161,C1SP3,0.06567457079946609
162,nBondsS,0.06470597219285512
163,ETA_Eta_B,0.06353763994922261
164,ETA_Eta_B_RC,0.0628084897424332
165,ATSm4,0.062434902286491935
166,nBondsS2,0.06211446532762868
167,ETA_Eta_L,0.06206498161388763
168,sumI,0.061708592819879095
169,MLFER_BH,0.06079221800263922
170,ALogP,0.060418948439462876
171,nBondsS3,0.059879137600261145
172,MLFER_BO,0.05932776568096592
173,MLFER_S,0.058572037908873144
174,SHCsats,0.05759313485547255
175,nHBAcc_Lipinski,0.05756291914823793
176,mindO,0.05712858689750546
177,MDEO-11,0.05693808409392594
178,nAtomLAC,0.054954117739566134
179,ETA_Beta_ns_d,0.05389206276960327
180,BCUTw-1l,0.053453604593255974
181,ATSm1,0.053436503689862525
182,MDEC-12,0.050249804912776606
183,nssO,0.04675521471707822
184,maxdO,0.04653790280053342
185,maxsCH3,0.04640640181683817
186,minsCH3,0.04434878655222322
187,nN,0.04283253736019262
188,SdO,0.04213100758063139
189,nssCH2,0.04176617551224114
190,nHBa,0.040718916170826513
191,nHCsats,0.0405474762407974
192,ETA_dBeta,0.03887594556976644
193,nHBAcc2,0.03831745039667209
194,SHBa,0.037459492807197264
195,ndO,0.03641044976121964
196,nO,0.03615925912105171
197,SsCH3,0.035648049756211456
198,nHBAcc3,0.031650150920264866
199,C2SP3,0.030979036454040293
200,n5Ring,0.027984868204358943
201,nT5Ring,0.02796438778798266
202,nF10Ring,0.025391217827092666
203,nT10Ring,0.025345107351308807
204,MDEC-13,0.02501183080236015
205,DELS,0.023238788127198554
206,nFRing,0.02304858101411905
207,ALogp2,0.020236996233973847
208,nBondsD2,0.019058339368173777
209,nHBDon,0.016238630934277992
210,DELS2,0.01559187928129288
211,nHBd,0.015109640035660343
212,nHBDon_Lipinski,0.012147598033183257
213,nsCH3,0.007473111679113492
214,nAtomLC,0.0
