,features,importance
77,SP-7,0.0019646782207883126
80,VP-2,0.0019422751124452608
55,VCH-6,0.0019413608757487385
59,SC-5,0.0018927082439128885
170,minHBint4,0.0018826370159347736
153,SaasC,0.001872721984749195
286,Kier2,0.0018673471153750633
219,maxHCsats,0.0018235514040870957
64,SPC-4,0.0018147764520593398
334,WTPT-3,0.0018107568476036907
254,ETA_Shape_P,0.001802106203514426
75,SP-5,0.001768190480681707
241,gmax,0.0017642385026475766
88,ECCEN,0.0017584918852720278
44,bpol,0.0017483386664619142
276,FMF,0.0017315249586895383
67,VPC-4,0.0017153890253830235
222,maxHother,0.0016970084853931758
302,MDEO-11,0.0016649609870226572
299,MDEC-24,0.0016631031529031324
146,SHother,0.0016574408172952628
85,VP-7,0.0016391481772774193
204,maxHBa,0.0016227134113821569
191,minaasC,0.0016093393563969018
61,VC-3,0.0016033478914733983
24,ATSm5,0.0015966141139074947
142,SHaaCH,0.0015709037147311519
143,SHCsats,0.001562254997643556
76,SP-6,0.0015459519489856338
205,maxwHBa,0.0015344642849808591
189,minsssCH,0.0015054458606917182
53,SCH-6,0.0014944438906717829
295,MDEC-13,0.0014878209013536692
84,VP-6,0.0014768926980594937
83,VP-5,0.0014340161104916805
167,minwHBa,0.0014159968775453616
185,minsCH3,0.001404466587875776
2,AMR,0.0014024186988941395
211,maxHBint7,0.0013881774932160886
181,minHCsats,0.0013826908017736666
226,maxaaCH,0.0013732642181646189
218,maxHaaCH,0.0013656092449814733
57,SC-3,0.0013647000038871655
224,maxssCH2,0.0013512089848117868
62,VC-4,0.0013126395295808384
223,maxsCH3,0.0013040862128890192
182,minHCsatu,0.0013012172599671766
28,ATSp4,0.0013002245829976506
277,fragC,0.0012962429680850119
135,SHBint7,0.0012842244386951803
74,SP-4,0.0012692256200726147
194,minssNH,0.0012611332470912706
161,SssO,0.0012585256865024518
239,sumI,0.0012370256819557875
128,SHBa,0.0012340718203990614
184,minHother,0.0012312246660972862
188,minaaCH,0.00120933558975732
82,VP-4,0.0012069224563914314
267,ETA_Eta_F,0.0011709626710910248
81,VP-3,0.0011672495542088457
180,minHaaCH,0.00116599582148163
274,ETA_Eta_B,0.001130361430360325
91,nwHBa,0.0011176111359132387
238,maxsF,0.0011124752658997425
60,SC-6,0.0011122560666849942
133,SHBint5,0.0011095875765058394
289,nAtomP,0.0011090460594518922
272,ETA_Eta_F_L,0.001097592623669385
151,SsssCH,0.0010954819079684432
148,SssCH2,0.0010912398259677496
294,MDEC-12,0.0010741436143787222
51,C4SP3,0.001072892442777121
32,BCUTw-1h,0.0010726992220872569
273,ETA_EtaP_F_L,0.0010711725158893473
306,MDEN-23,0.0010707851596838762
175,minHBint9,0.001070263888822275
247,DELS,0.001067878015280311
132,SHBint4,0.0010643157632508706
313,MLFER_L,0.0010615217102716609
136,SHBint8,0.0010440179585102867
324,nT9Ring,0.0010341731595428227
270,ETA_EtaP_L,0.0010259673016639738
210,maxHBint6,0.0010115289852595888
262,ETA_dBetaP,0.0010074906997948126
290,nAtomLAC,0.0009932711286777735
27,ATSp3,0.0009889118708130244
318,nF9Ring,0.0009822913163848766
265,ETA_EtaP,0.0009578662716483896
73,SP-3,0.0009562752018345751
253,ETA_dEpsilon_A,0.0009534667061130149
275,ETA_Eta_B_RC,0.0009516339831153071
20,ATSm1,0.0009186019794728811
257,ETA_BetaP,0.0009023390546754449
158,SsssN,0.0008969522242247445
252,ETA_Epsilon_1,0.0008819369322224962
256,ETA_Beta,0.0008789738503834963
23,ATSm4,0.0008764342395913746
235,maxdO,0.0008618421064701504
31,BCUTw-1l,0.0008599374247179369
330,VABC,0.0008559001320182354
250,DELS2,0.0008331115669697061
79,VP-1,0.0008227529572079809
87,CrippenMR,0.0008226329477687921
