,features,importance
214,nT10Ring,0.6036371377881046
215,nRotB,0.5315612859821838
216,TopoPSA,0.5339170793642863
217,VABC,0.5475393469548665
218,VAdjMat,0.6798682374079515
219,MW,0.554783575640096
220,WTPT-1,0.5627946910174475
221,WTPT-3,0.5477417068006041
222,WTPT-4,0.6143640952919731
223,WTPT-5,0.5278606530738242
224,WPATH,0.507501132062061
225,WPOL,0.5926723160262125
226,XLogP,0.7561511465834146
227,Zagreb,0.5787157904283143
