,index,corr,g,m,total
30,大同混煤（5800大卡）_fixed_GR,0.9749216355071136,0.9362807275276761,0.820396436671279,0.9105329332353561
31,焦煤（1/3焦煤）_fixed_GR,0.5923583762854907,0.31142167536406995,0.0,0.30126001721652024
32,焦炭（二级冶金焦）_fixed_GR,0.9266928446012246,0.8548520342805983,0.39088462276453484,0.7241431672154525
33,复合硅酸盐水泥（P.C 32.5袋装）_fixed_GR,0.5308514649753592,0.2911199770808599,0.17759415829791214,0.33318853345137706
34,普通硅酸盐水泥（P.O 42.5散装）_fixed_GR,0.6542963935503097,0.4053863879796491,0.3544229950767508,0.47136859220223654
35,浮法平板玻璃（4.8/5mm）_fixed_GR,0.9473287516383078,0.8604870127556945,0.615038717586665,0.8076181606602223
36,稻米（粳稻米）_fixed_GR,0.22637111538667037,0.4109223623545417,0.47103180356845153,0.3694417604365545
37,小麦（国标三等）_fixed_GR,0.5776916173814652,0.5425784211607463,0.39166891848739493,0.5039796523432022
38,玉米（黄玉米二等）_fixed_GR,0.7618935067672618,0.5350269613114509,0.7303241452518958,0.6757482044435362
39,棉花（皮棉，白棉三级）_fixed_GR,0.8263220049613104,0.656314517420755,0.7786142983309927,0.7537502735710193
40,生猪（外三元）_fixed_GR,0.43163463410981084,0.37839607009082643,0.11352338479100055,0.3078513629972126
41,大豆（黄豆）_fixed_GR,0.5137924193732777,0.42633454915411195,0.5531745893915474,0.49776718597297903
42,豆粕（粗蛋白含量≥43%）_fixed_GR,0.682211783176953,0.49203965840682673,0.17809707940144637,0.4507828403284087
43,花生（油料花生米）_fixed_GR,0.32602301561560704,0.33547492608583096,0.2834711961259986,0.3149897126091455
44,尿素（小颗料）_fixed_GR,0.8906184896165497,0.7574731450154515,0.3386943635439825,0.6622619993919946
45,复合肥（硫酸钾复合肥）_fixed_GR,0.0,0.0,0.5048023699818118,0.16826745666060394
46,农药(草甘膦，95%原药）_fixed_GR,0.9071705472293873,0.8488745236023589,0.6124296035497774,0.7894915581271745
47,纸浆（漂白化学浆）_fixed_GR,0.6767804005893996,0.626318048001439,0.10137250432417044,0.468156984305003
48,瓦楞纸（高强）_fixed_GR,0.8917282977555198,0.8822614168510874,0.7676906119143292,0.8472267755069787
